probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr,abs_diff
gene_9733,6.246038897139018,5.755068387914798,0.49097050922422003,7.124776464337112,1.4381483293296568e-07,1.6624342574507603e-06,9733,SART3,5.779255520275026,0.49097050922422003
gene_4828,6.03015287850069,8.698644297010807,-2.6684914185101167,-8.521546334202874,1.4555448872815693e-07,1.677458865838372e-06,4828,NMB,5.7753481206722,2.6684914185101167
gene_4199,4.4189408150336424,6.635919687279394,-2.2169788722457513,-8.181240811991085,1.4571821982589885e-07,1.677458865838372e-06,4199,ME1,5.7753481206722,2.2169788722457513
gene_596,5.645604263309004,6.063954076241933,-0.41834981293292905,-6.092436598285333,1.4605309702341363e-07,1.6788665315777256e-06,596,BCL2,5.774983828521456,0.41834981293292905
gene_2922,5.300074068391769,4.039084082285609,1.2609899861061598,6.439580023863926,1.4628545990530764e-07,1.6790934256863583e-06,2922,GRP,5.774925138804628,1.2609899861061598
gene_10362,5.921259886238633,5.257341986150265,0.6639179000883679,6.977982709864154,1.505202226302209e-07,1.7251933209156089e-06,10362,HMG20B,5.763162231893528,0.6639179000883679
gene_2327,6.107381705833958,9.046800482107448,-2.9394187762734907,-8.004378573205699,1.5520744192816495e-07,1.776337925951766e-06,2327,FMO2,5.7504744116341655,2.9394187762734907
gene_23643,5.5023807072189825,7.020281448178926,-1.5179007409599432,-6.72931484153869,1.558389943600741e-07,1.7809848602916139e-06,23643,LY96,5.749339772350208,1.5179007409599432
gene_6541,4.739045237789916,4.159095241369025,0.5799499964208907,7.597238504965192,1.5687556174845759e-07,1.7902403339993779e-06,6541,SLC7A1,5.747088662470734,0.5799499964208907
gene_440,6.538189045741241,5.121074676113891,1.4171143696273498,6.894995804336864,1.5864581685274332e-07,1.8052248064641413e-06,440,ASNS,5.743468707261092,1.4171143696273498
gene_6910,4.148122435878003,4.550633086696987,-0.40251065081898396,-7.321730473919622,1.5853212083540098e-07,1.8052248064641413e-06,6910,TBX5,5.743468707261092,0.40251065081898396
gene_27303,4.437016668780509,5.80478459648707,-1.367767927706561,-7.824650226785945,1.6339470902057188e-07,1.8565870750150447e-06,27303,RBMS3,5.731284677296034,1.367767927706561
gene_8776,5.615214642144315,5.251108140386143,0.3641065017581724,6.597105310740777,1.650934918404393e-07,1.8731944038275131e-06,8776,MTMR1,5.7274171483437595,0.3641065017581724
gene_10142,5.234132914578865,4.781330754338639,0.4528021602402257,6.026840963842443,1.6703307441434942e-07,1.8924823366572702e-06,10142,AKAP9,5.722968165264127,0.4528021602402257
gene_63924,6.578907758908485,11.443291316364478,-4.8643835574559935,-8.428066368517708,1.6923503265194983e-07,1.9146834568086647e-06,63924,CIDEC,5.717903015076271,4.8643835574559935
gene_284,4.209601903404757,7.414574917143384,-3.204973013738627,-8.541325039593813,1.708941839258394e-07,1.9306886558831958e-06,284,ANGPT1,5.714287755186813,3.204973013738627
gene_6509,7.041665250210959,5.968370263098037,1.0732949871129218,6.598860313238885,1.7204805247066273e-07,1.936321034469254e-06,6509,SLC1A4,5.713022636728078,1.0732949871129218
gene_4234,6.281296200406069,5.488213527755438,0.7930826726506313,7.424708452425942,1.7181710406117202e-07,1.936321034469254e-06,4234,METTL1,5.713022636728078,0.7930826726506313
gene_8558,6.002168633220512,5.436304641577046,0.5658639916434653,6.997029181870532,1.721283229324321e-07,1.936321034469254e-06,8558,CDK10,5.713022636728078,0.5658639916434653
gene_8555,4.199452444438944,5.131858984249588,-0.9324065398106436,-8.054152221608081,1.730643805278226e-07,1.9440816686034353e-06,8555,CDC14B,5.711285494821875,0.9324065398106436
gene_55761,6.975228575395205,6.479828532185035,0.4954000432101697,6.608327401482085,1.7412850726476256e-07,1.9532568492469174e-06,55761,TTC17,5.709240644128369,0.4954000432101697
gene_5426,6.686061466430892,6.0623390558616155,0.6237224105692762,6.825331531835741,1.7503621215315148e-07,1.9578767243249817e-06,5426,POLE,5.708214656573156,0.6237224105692762
gene_23032,6.459839627314603,6.979635254202897,-0.5197956268882944,-6.83855941149804,1.7485886701820828e-07,1.9578767243249817e-06,23032,USP33,5.708214656573156,0.5197956268882944
gene_5468,4.352374105183618,8.369473670771796,-4.017099565588179,-8.398893034576053,1.7612851733725477e-07,1.9673082056751075e-06,5468,PPARG,5.706127596593846,4.017099565588179
gene_7881,3.540913870771413,4.143456674572166,-0.6025428038007528,-8.186609444270687,1.7927938022977294e-07,1.9996741040600523e-06,7881,KCNAB1,5.699040777506545,0.6025428038007528
gene_57415,5.624551824097796,4.6818732423983125,0.9426785816994832,7.087805862317368,1.7967704445852035e-07,2.001282962043632e-06,57415,CEP15,5.698691501985437,0.9426785816994832
gene_126,3.261700107329324,7.076044536321762,-3.8143444289924378,-8.568696252388905,1.8259376673667363e-07,2.0309055998866364e-06,126,ADH1C,5.69231026290791,3.8143444289924378
gene_6882,6.124582215867839,5.704173523131538,0.4204086927363013,6.647498923021336,1.8369697768129115e-07,2.0403024370592915e-06,6882,TAF11,5.6903054516865375,0.4204086927363013
