probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr
gene_7083,6.918916258056478,5.444611419345066,1.4743048387114115,9.626249943323204,6.28990266935233e-11,2.446865092604697e-09,7083,TK1,8.6113899747236
gene_9134,4.522287188696502,3.3438695855888874,1.178417603107615,9.730498405347722,7.062627660316294e-11,2.694375392923564e-09,9134,CCNE2,8.569541896468417
gene_84561,6.243633757549613,4.694013535072025,1.5496202224775883,9.580794174663648,7.146390271846151e-11,2.713223268113897e-09,84561,SLC12A8,8.566514467159816
gene_633,7.265364007741762,5.911376206142939,1.353987801598823,9.873759277518431,7.397589739848246e-11,2.7951562763436173e-09,633,BGN,8.553593905825373
gene_79838,5.516158176830653,4.109358555118319,1.4067996217123344,8.15004699676922,9.020477989022932e-11,3.352019863450216e-09,79838,TMC5,8.4746934164853
gene_10449,5.732918714612444,7.0570283809298715,-1.3241096663174279,-12.245617114543615,9.041157793021349e-11,3.352019863450216e-09,10449,ACAA2,8.4746934164853
gene_55733,5.9519210281348895,4.800162845726837,1.1517581824080523,9.600713883657999,9.236200057243413e-11,3.4083304603762257e-09,55733,HHAT,8.467458304116551
gene_9185,5.6427328987210705,4.569564139765306,1.0731687589557648,7.143168261725631,9.669311315729233e-11,3.535118123162674e-09,9185,REPS2,8.451596070019656
gene_6776,6.6732338677448535,8.144767942094887,-1.4715340743500338,-10.468449521407528,1.0122300747428745e-10,3.683677834214046e-09,6776,STAT5A,8.433718359186706
gene_6373,3.7180750301348593,2.565843531067901,1.1522314990669584,7.183144893428507,1.0288189184133875e-10,3.7175450393609605e-09,6373,CXCL11,8.42974376114429
gene_120,6.409471494485313,7.70150227108601,-1.292030776600697,-9.152369722445593,1.0309514545017733e-10,3.7175450393609605e-09,120,ADD3,8.42974376114429
gene_79957,5.731262721876699,4.7076730984793835,1.0235896233973154,8.391666002854368,1.0749002301050354e-10,3.840944396895685e-09,79957,PAQR6,8.415561979816383
gene_9500,10.062153306223166,8.923956463713278,1.1381968425098883,8.340350067460514,1.184043205938594e-10,4.155728532132034e-09,9500,MAGED1,8.381352829942513
gene_54843,6.268440317491381,5.1575545215893195,1.1108857959020613,7.947352547086073,1.2443994063310184e-10,4.3290846307471594e-09,54843,SYTL2,8.363603923933384
gene_1945,6.995283419617812,5.262586767322621,1.732696652295191,9.7829031615959,1.3094034683590638e-10,4.515440694162238e-09,1945,EFNA4,8.3452998573764
gene_4646,7.632265421788115,5.9254960516326,1.7067693701555147,10.381375192239897,1.5491037636792013e-10,5.227894197339595e-09,4646,MYO6,8.281673210298942
gene_54836,7.013867464002389,4.626979573042959,2.3868878909594295,10.256125384404147,1.64951085455214e-10,5.543058390807766e-09,54836,BSPRY,8.256250546507298
gene_5357,4.926296970031314,3.6960661359538265,1.2302308340774872,7.81878803521687,1.6569244796174878e-10,5.5443782269234324e-09,5357,PLS1,8.256147150643217
gene_10256,5.71403123009998,4.701300681188987,1.0127305489109935,9.325703061398698,1.712022393131974e-10,5.704574193486582e-09,10256,CNKSR1,8.243776767077609
gene_5618,4.814546698767095,3.804014131615885,1.01053256715121,9.115256642551138,1.7694099809430669e-10,5.8710212687005885e-09,5618,PRLR,8.231286346319225
gene_1741,5.6636158232823,4.513800615912669,1.149815207369631,10.805672278758363,2.5197184657942353e-10,8.088705985519137e-09,1741,DLG3,8.092120950365306
gene_10451,6.01941087939374,4.303305656813263,1.7161052225804765,9.604648090061826,2.63292126801372e-10,8.370463056507555e-09,10451,VAV3,8.077250516042175
gene_5423,9.003172878447003,7.945269373870763,1.05790350457624,8.168657151867276,2.6392874522861605e-10,8.370463056507555e-09,5423,POLB,8.077250516042175
gene_7272,5.225604977312,3.4876464063134285,1.7379585709985714,8.840979011412532,2.697388202914881e-10,8.520509855367526e-09,7272,TTK,8.069534416882643
gene_9686,8.745041915355658,7.552369442482981,1.1926724728726779,10.50687356981313,3.1871880217320995e-10,9.755513103728057e-09,9686,VGLL4,8.010749883393256
gene_8416,5.61032186222523,4.4532485725173805,1.1570732897078493,7.254692277527753,3.2731067192727253e-10,9.92105038878777e-09,8416,ANXA9,8.003442344589303
gene_51361,6.345813920502728,4.0080857149051266,2.3377282055976014,10.697124751508264,3.2789592902033783e-10,9.92105038878777e-09,51361,HOOK1,8.003442344589303
gene_23225,5.745051115595515,4.688561398389091,1.056489717206424,10.084072143396105,3.650458141153752e-10,1.1002926694920298e-08,23225,NUP210,7.958491780442263
gene_81831,4.594305412810721,3.49080592522709,1.103499487583631,7.442380146677247,3.6661782575505925e-10,1.10082926615502e-08,81831,NETO2,7.95828003299603
gene_5205,8.019329493357462,6.72308061249028,1.2962488808671822,9.214684425248306,3.7574452542052475e-10,1.1197186857531637e-08,5205,ATP8B1,7.950891074268198
gene_6890,7.850338574615711,6.646311442320404,1.2040271322953071,7.431384444712215,3.9672666826844296e-10,1.1728099822473559e-08,6890,TAP1,7.93077234623595
gene_7163,7.179553576394328,4.69760760903835,2.481945967355978,10.272649382618939,3.9801579744496817e-10,1.1728099822473559e-08,7163,TPD52,7.93077234623595
gene_3627,6.540887116738266,4.845714311259738,1.6951728054785278,7.165668946804468,5.190580663875252e-10,1.506985864067017e-08,3627,CXCL10,7.821890821465384
gene_1786,7.6184092239278245,6.078856967981651,1.5395522559461732,9.914614308834329,5.312719224889862e-10,1.5311877269691696e-08,1786,DNMT1,7.814971560582728
