probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr
gene_10072,7.603685955541232,6.466714695371699,1.136971260169533,10.101865735351431,1.8825322275731365e-12,1.249273697575215e-10,10072,DPP3,9.903342403639599
gene_5590,7.439821031377442,5.3274321108003235,2.1123889205771187,13.333727147074528,2.0196722257287906e-12,1.3181282286429967e-10,5590,PRKCZ,9.880042339147737
gene_4061,7.761770594363528,6.260400769280853,1.5013698250826746,9.115000297839124,2.124239374372828e-12,1.3669455298774248e-10,4061,LY6E,9.864248790878397
gene_55040,6.210856271483582,4.29357196854006,1.9172843029435223,10.647189487714845,2.1464004774572706e-12,1.3669455298774248e-10,55040,EPN3,9.864248790878397
gene_54503,5.666556818020117,4.4247801343870945,1.2417766836330228,10.710090722404908,2.264929385574088e-12,1.4308917886302855e-10,54503,ZDHHC13,9.844393208572667
gene_991,7.643207651171814,4.792664170522552,2.8505434806492618,11.930570545034422,2.3483428615449038e-12,1.4718145696523893e-10,991,CDC20,9.832146902260414
gene_2171,7.240235921097739,10.091453886871356,-2.8512179657736176,-11.075083767530604,2.6300406134971217e-12,1.6226117753739662e-10,2171,FABP5,9.78978537665018
gene_5863,8.60343691146916,7.420032206346069,1.183404705123091,10.615815649736481,2.8698145004444194e-12,1.7568159000007425e-10,5863,RGL2,9.755273746645225
gene_124222,7.269589782227104,5.864113746855457,1.4054760353716471,10.954943149233257,3.038687303503248e-12,1.845885664289627e-10,124222,PAQR4,9.733795203042455
gene_6653,7.170675200389912,5.917204908365593,1.2534702920243186,9.716154521225274,3.157818148962698e-12,1.8895788193357387e-10,6653,SORL1,9.723634987796377
gene_22974,6.038737635543452,4.396243498422063,1.642494137121389,9.513536302724408,6.0433289988254796e-12,3.4088692216946296e-10,22974,TPX2,9.467389659781913
gene_3149,7.124025474939636,5.477041122905918,1.6469843520337175,10.299807830422319,6.238705395680083e-12,3.4941174829564266e-10,3149,HMGB3,9.456662496793866
gene_55227,5.214965293691244,3.9203184176201216,1.2946468760711225,11.51560025954847,7.0993130272512634e-12,3.94811795607065e-10,55227,LRRC1,9.403609880595782
gene_11335,7.936523176341807,6.848368578435349,1.088154597906458,10.931972631045756,7.222733157159507e-12,3.988665995950254e-10,11335,CBX3,9.399172329242665
gene_2305,5.1945389522563765,3.8028057818854575,1.391733170370919,8.973262765905066,7.884834531801723e-12,4.294244020526773e-10,2305,FOXM1,9.367113280403467
gene_79767,6.101004240852414,4.631491209735252,1.4695130311171622,9.842151625903165,9.034268108699215e-12,4.799479632725044e-10,79767,ELMO3,9.318805846975845
gene_100506658,5.177739375360484,4.014284831903827,1.1634545434566572,10.142598256684794,9.05562194853782e-12,4.799479632725044e-10,100506658,OCLN,9.318805846975845
gene_7227,8.434765331432612,6.153221992506698,2.281543338925913,11.417593838926663,1.0318466308232091e-11,5.333663138646838e-10,7227,TRPS1,9.27297441677637
gene_9833,6.874605866530736,4.757725555391896,2.11688031113884,9.870424786062198,1.0333676842002863e-11,5.333663138646838e-10,9833,MELK,9.27297441677637
gene_64699,5.31272205862044,4.145760023743433,1.166962034877007,7.8381338492875114,1.0732788472359106e-11,5.451591484091896e-10,64699,TMPRSS3,9.263476695546801
gene_771,6.897035636141538,5.323598160134103,1.5734374760074354,8.647251906852476,1.074673814973038e-11,5.451591484091896e-10,771,CA12,9.263476695546801
gene_23753,7.431705777306501,6.285123915548473,1.146581861758028,9.702646347703368,1.0769257585391107e-11,5.451591484091896e-10,23753,SDF2L1,9.263476695546801
gene_1382,9.188631198617063,7.088859195966944,2.099772002650119,9.202601516315248,1.3645627297569442e-11,6.77732822445949e-10,1382,CRABP2,9.16894148106799
gene_6713,5.679727343121161,4.2193727416142295,1.460354601506931,10.751705401071485,1.4795540404118323e-11,7.168121630142478e-10,6713,SQLE,9.144594634086507
gene_28951,6.239098562187705,5.232899085926753,1.006199476260952,7.98459173248826,2.3079755839753377e-11,1.0784664607487124e-09,28951,TRIB2,8.96719335648471
gene_10160,6.321695252694053,5.021016051189029,1.300679201505024,10.599619644530282,2.5975179090998206e-11,1.173143178706067e-09,10160,FARP1,8.930648980273842
gene_9618,5.5002533014415045,4.469034692462166,1.031218608979339,10.618748310895766,2.8920024434943285e-11,1.2857106547469005e-09,9618,TRAF4,8.890856757061519
gene_3856,10.129092869075617,6.794105455727964,3.334987413347653,11.755577259306774,3.3910424562774516e-11,1.4553838194142954e-09,3856,KRT8,8.83702245776289
gene_900,8.52225874261704,9.7807229545057,-1.2584642118886595,-8.694389652211154,3.92640148784354e-11,1.652534684525483e-09,900,CCNG1,8.781849416477757
gene_1788,6.426080046206979,5.296848566691144,1.1292314795158358,10.973750934101833,4.220218626981777e-11,1.7540561314355312e-09,1788,DNMT3A,8.755956512918294
gene_3832,4.616317413004802,3.0457263292226084,1.570591083782194,8.894250081067089,4.822391044141764e-11,1.9715095944299492e-09,3832,KIF11,8.705201105074226
gene_64284,6.313846721297789,4.946386997064799,1.3674597242329902,9.37809935736839,4.8432678399317475e-11,1.9715095944299492e-09,64284,RAB17,8.705201105074226
gene_9120,5.958405584454773,4.422950750976968,1.5354548334778055,8.088392977724153,4.9100779605145e-11,1.9884556745734873e-09,9120,SLC16A6,8.70148408559462
gene_56654,8.064673230425647,7.038268940919273,1.0264042895063747,8.19410536490355,4.9823979975943855e-11,1.997258730304714e-09,56654,NPDC1,8.699565671801665
gene_54795,6.155125715189052,4.884937050018343,1.2701886651707088,9.069279337223946,5.2367655708680876e-11,2.0781275232736325e-09,54795,TRPM4,8.682327805693783
